Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,44.09,44.389999,43.990002,44.290001,10139700,44.290001
2017-04-06,44.529999,44.529999,44.139999,44.18,11556400,44.18
2017-04-05,44.740002,44.970001,44.41,44.490002,9335400,44.490002
2017-04-04,44.610001,44.740002,44.380001,44.59,9157200,44.59
2017-04-03,44.68,45.049999,44.400002,44.610001,16042400,44.610001
2017-03-31,44.50,44.849998,44.459999,44.610001,10646300,44.610001
2017-03-30,44.450001,44.75,44.369999,44.68,7788900,44.68
2017-03-29,44.52,44.73,44.470001,44.52,10476900,44.52
2017-03-28,44.830002,45.029999,44.66,44.689999,13986200,44.689999
2017-03-27,44.509998,44.93,44.360001,44.84,8933100,44.84
2017-03-24,44.919998,45.09,44.580002,44.650002,12993800,44.650002
2017-03-23,44.68,45.060001,44.669998,44.950001,15952200,44.950001
2017-03-22,45.130001,45.450001,44.630001,44.790001,14200300,44.790001
2017-03-21,45.310001,45.400002,44.709999,44.84,21822000,44.84
2017-03-20,45.669998,45.950001,45.16,45.23,20664000,45.23
2017-03-17,45.25,45.98,45.110001,45.66,31483600,45.66
2017-03-16,46.389999,46.990002,45.650002,45.73,67008900,45.73
2017-03-15,42.900002,43.200001,42.639999,43.049999,16435000,43.049999
2017-03-14,42.580002,42.84,42.41,42.790001,10261200,42.790001
2017-03-13,42.75,42.779999,42.529999,42.580002,11162900,42.580002
2017-03-10,42.619999,42.689999,42.349998,42.68,11926200,42.68
2017-03-09,42.630001,42.630001,42.25,42.439999,10306500,42.439999
2017-03-08,42.68,42.790001,42.509998,42.610001,8978100,42.610001
2017-03-07,42.580002,42.75,42.52,42.599998,9397400,42.599998
2017-03-06,42.459999,42.740002,42.299999,42.57,9180400,42.57
2017-03-03,42.77,42.889999,42.59,42.689999,8917100,42.689999
2017-03-02,42.830002,42.93,42.630001,42.889999,9418200,42.889999
2017-03-01,42.75,43.00,42.689999,42.919998,11391100,42.919998
2017-02-28,42.619999,42.75,42.419998,42.59,14427400,42.59
2017-02-27,43.259998,43.259998,42.52,42.700001,13843900,42.700001
2017-02-24,42.740002,43.189999,42.68,43.169998,11384000,43.169998
2017-02-23,42.560001,42.990002,42.50,42.959999,15373300,42.959999
2017-02-22,42.259998,42.52,42.130001,42.509998,11594400,42.509998
2017-02-21,41.990002,42.380001,41.93,42.27,11948400,42.27
2017-02-17,41.540001,42.060001,41.50,42.060001,18332100,42.060001
2017-02-16,41.459999,41.740002,41.369999,41.59,10131700,41.59
2017-02-15,40.959999,41.48,40.889999,41.41,9141800,41.41
2017-02-14,40.919998,41.169998,40.75,41.099998,9621200,41.099998
2017-02-13,40.889999,41.189999,40.799999,41.09,12779800,41.09
2017-02-10,40.330002,40.919998,40.209999,40.790001,13168700,40.790001
2017-02-09,40.02,40.450001,40.02,40.23,10977100,40.23
2017-02-08,40.060001,40.349998,40.009998,40.02,8883300,40.02
2017-02-07,40.16,40.299999,40.040001,40.07,8848700,40.07
2017-02-06,40.439999,40.439999,40.080002,40.099998,7871300,40.099998
2017-02-03,40.07,40.43,39.950001,40.43,12941200,40.43
2017-02-02,39.77,40.00,39.68,39.98,10120300,39.98
2017-02-01,40.220001,40.220001,39.709999,39.84,11837000,39.84
2017-01-31,40.209999,40.25,39.669998,40.110001,10766700,40.110001
2017-01-30,40.110001,40.25,39.810001,40.23,10589600,40.23
2017-01-27,40.200001,40.389999,40.130001,40.23,9232700,40.23
2017-01-26,40.209999,40.25,39.950001,40.130001,10556500,40.130001
2017-01-25,40.32,40.380001,39.950001,40.150002,13164800,40.150002
2017-01-24,39.849998,40.200001,39.75,40.099998,12216500,40.099998
2017-01-23,39.759998,40.09,39.43,39.68,13251200,39.68
2017-01-20,39.459999,40.029999,39.450001,39.869999,25439100,39.869999
2017-01-19,39.119999,39.380001,39.099998,39.209999,12232400,39.209999
2017-01-18,39.279999,39.34,39.029999,39.189999,10394000,39.189999
2017-01-17,39.07,39.279999,38.889999,39.099998,11081400,39.099998
2017-01-13,39.16,39.330002,39.029999,39.259998,9455300,39.259998
2017-01-12,39.029999,39.32,38.59,39.200001,11526900,39.200001
2017-01-11,38.639999,39.130001,38.639999,39.110001,10403100,39.110001
2017-01-10,39.00,39.07,38.66,38.66,11316600,38.66
2017-01-09,38.529999,39.450001,38.470001,39.029999,15586600,39.029999
2017-01-06,38.75,38.75,38.380001,38.450001,14829700,38.450001
2017-01-05,38.669998,38.950001,38.41,38.639999,12064700,38.639999
2017-01-04,38.549999,38.919998,38.549999,38.740002,9545500,38.740002
2017-01-03,38.450001,38.689999,38.299999,38.549999,11051300,38.549999
2016-12-30,38.75,38.860001,38.34,38.450001,10820200,38.30
2016-12-29,38.610001,38.84,38.610001,38.689999,5711800,38.539062
2016-12-28,38.869999,38.919998,38.630001,38.68,8264100,38.529103
2016-12-27,38.77,39.040001,38.759998,38.82,5073700,38.668556
2016-12-23,38.790001,39.02,38.630001,38.779999,8143600,38.628711
