Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,7.12,7.16,7.01,7.12,11272000,7.12
2017-04-06,7.17,7.17,7.07,7.13,8056900,7.13
2017-04-05,7.24,7.27,7.12,7.16,7605500,7.16
2017-04-04,7.22,7.27,7.18,7.21,6200300,7.21
2017-04-03,7.36,7.39,7.18,7.25,8493200,7.25
2017-03-31,7.38,7.43,7.34,7.34,8683500,7.34
2017-03-30,7.26,7.41,7.25,7.38,6077100,7.38
2017-03-29,7.27,7.28,7.15,7.27,9255900,7.27
2017-03-28,7.14,7.40,7.13,7.34,12150400,7.277
2017-03-27,7.14,7.20,7.09,7.14,7656000,7.078716
2017-03-24,7.23,7.25,7.15,7.19,6717900,7.128287
2017-03-23,7.18,7.27,7.17,7.20,5989500,7.138201
2017-03-22,7.21,7.21,7.10,7.18,7085300,7.118373
2017-03-21,7.43,7.44,7.16,7.20,13412700,7.138201
2017-03-20,7.38,7.43,7.33,7.43,8917500,7.366227
2017-03-17,7.39,7.40,7.30,7.36,11213300,7.296828
2017-03-16,7.31,7.42,7.29,7.41,10543800,7.346399
2017-03-15,7.35,7.37,7.26,7.29,11270500,7.227429
2017-03-14,7.34,7.36,7.21,7.32,8032000,7.257172
2017-03-13,7.37,7.45,7.29,7.31,17957200,7.247257
2017-03-10,7.38,7.48,7.33,7.36,6864000,7.296828
2017-03-09,7.41,7.50,7.35,7.38,8665400,7.316657
2017-03-08,7.38,7.44,7.31,7.44,9618300,7.376142
2017-03-07,7.46,7.47,7.30,7.36,15995700,7.296828
2017-03-06,7.62,7.62,7.45,7.45,17879600,7.386056
2017-03-03,7.32,7.39,7.29,7.36,5788100,7.296828
2017-03-02,7.41,7.45,7.28,7.29,13319700,7.227429
2017-03-01,7.48,7.48,7.34,7.39,9716000,7.326571
2017-02-28,7.44,7.47,7.37,7.44,11850900,7.376142
2017-02-27,7.53,7.54,7.37,7.44,12276300,7.376142
2017-02-24,7.48,7.69,7.43,7.54,9756500,7.475283
2017-02-23,7.47,7.56,7.39,7.53,8334700,7.465369
2017-02-22,7.42,7.50,7.41,7.46,6820400,7.39597
2017-02-21,7.38,7.47,7.25,7.44,6587200,7.376142
2017-02-17,7.38,7.46,7.33,7.44,6461200,7.376142
2017-02-16,7.48,7.49,7.38,7.40,6000200,7.336485
2017-02-15,7.48,7.49,7.40,7.47,10842200,7.405884
2017-02-14,7.25,7.49,7.25,7.48,9653100,7.415798
2017-02-13,7.33,7.37,7.26,7.26,10669000,7.197687
2017-02-10,7.31,7.43,7.26,7.30,7117600,7.237343
2017-02-09,7.36,7.40,7.24,7.26,8524200,7.197687
